基金代碼,特徵1_國內外,特徵2_產業別,特徵3_高收益債,特徵4_高風險,特徵5_熱門基金,特徵6_基金型態別,特徵7_高報酬
61H,國外,科技硬體及設備,,,,a.股票型,今年來報酬率大於10%
61I,國外,科技硬體及設備,,,,a.股票型,今年來報酬率大於10%
61J,國外,能源,,高風險,,a.股票型,今年來報酬率大於10%
61K,國外,能源,,高風險,,a.股票型,
61L,國外,非民生必需品,,高風險,,a.股票型,今年來報酬率大於10%
61M,國外,電訊服務,,高風險,,a.股票型,
61N,國外,電訊服務,,高風險,,a.股票型,
61O,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
61P,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
61Q,國外,銀行與證券,高收益債,,,b.債券型,
61R,國外,銀行與證券,高收益債,,,b.債券型,
61S,國外,銀行與證券,高收益債,,,b.債券型,
61U,國外,醫療保健,,,,a.股票型,
61V,國外,,,,,d.平衡型,今年來報酬率大於10%
61W,國外,,,,,d.平衡型,今年來報酬率大於10%
61X,國外,公司債,高收益債,,,b.債券型,
621,國外,醫療保健,,,,a.股票型,
623,國外,健康醫療,,,,a.股票型,
62A,國外,非核心消費品,,高風險,,a.股票型,今年來報酬率大於10%
62B,國外,非核心消費品,,高風險,,a.股票型,今年來報酬率大於10%
62C,國外,工業,,,,a.股票型,
62D,國外,工業,,,,a.股票型,
62I,國外,,,高風險,,a.股票型,今年來報酬率大於10%
62J,國外,,,高風險,,a.股票型,今年來報酬率大於10%
62K,國外,香港中國概念股,,高風險,,a.股票型,今年來報酬率大於10%
62L,國外,健康護理,,,,a.股票型,今年來報酬率大於10%
62M,國外,金融,,高風險,,a.股票型,
62N,國外,股權,高收益債,,,b.債券型,
62O,國外,,高收益債,,,b.債券型,
62R,國外,資訊科技,,高風險,,a.股票型,今年來報酬率大於10%
62T,國外,新興市場債-當地貨幣,高收益債,,,b.債券型,
62U,國外,保險,,,,a.股票型,
62Y,國外,能源,,,,a.股票型,今年來報酬率大於10%
62Z,國外,非必需性消費品,,,,a.股票型,
639,國外,,,,,b.債券型,
63B,國外,資訊科技,,,,a.股票型,
63C,國外,,,,,a.股票型,
63D,國外,,,,,a.股票型,
63E,國外,必需性消費品,,高風險,,a.股票型,
63F,國外,,,,,a.股票型,
63G,國外,,,,,a.股票型,
63I,國外,資本財,高收益債,,,b.債券型,
63J,國外,金融,,,,a.股票型,今年來報酬率大於10%
63L,國外,景氣循環性消費,,高風險,,a.股票型,今年來報酬率大於10%
63M,國外,原物料,,高風險,,a.股票型,
63N,國外,能源,,高風險,,a.股票型,今年來報酬率大於10%
63O,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
63P,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
63R,國外,,,,,d.平衡型,
63S,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
63T,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
63U,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
63V,國外,現金及衍生性商品,高收益債,,,b.債券型,
63W,國外,現金及衍生性商品,高收益債,,,b.債券型,
63Y,國外,現金及衍生性商品,高收益債,,,b.債券型,
63Z,國外,工業,,高風險,熱銷基金,a.股票型,今年來報酬率大於10%
643,國外,健康護理,,,,a.股票型,今年來報酬率大於10%
645,國外,工業,,,,a.股票型,今年來報酬率大於10%
646,國外,非必需消費品,,,,a.股票型,今年來報酬率大於10%
647,國外,非必需消費品,,,,a.股票型,
648,國外,金融,,,,a.股票型,
64A,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
64B,國外,公用事業,,,,b.債券型,
64D,國外,企業債券,,,,b.債券型,
64E,國外,企業債券,,,,b.債券型,
64F,國外,企業債券,,,,b.債券型,
64G,國外,,高收益債,,,b.債券型,
64H,國外,,高收益債,,,b.債券型,
64I,國外,美國國庫券,,,,b.債券型,
64J,國外,資本財,高收益債,,,b.債券型,
64K,國外,資本財,高收益債,,,b.債券型,
64S,國外,新興市場債-強勢貨幣,高收益債,,,b.債券型,
64T,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
64U,國外,公用事業,高收益債,,,b.債券型,
64V,國外,公用事業,高收益債,,,b.債券型,
651,國外,必需消費品,,高風險,,a.股票型,
652,國外,非必需消費品,,,,a.股票型,
654,國外,健康護理,,,,a.股票型,
65E,國外,公用事業,高收益債,,,b.債券型,
65F,國外,機構債券,,,,b.債券型,
65G,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
65H,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
65K,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
65M,國外,非核心消費,,,,a.股票型,今年來報酬率大於10%
65O,國外,非核心消費,,,,a.股票型,
65S,國外,非必需消費品,,,,a.股票型,今年來報酬率大於10%
65T,國外,非必需消費品,,,,a.股票型,今年來報酬率大於10%
65U,國外,工業,,,,a.股票型,今年來報酬率大於10%
65Y,國外,非必需消費品,,,,a.股票型,今年來報酬率大於10%
